Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04-10-57,19:28:00,Sputnik 8K71PS,Sputnik-1,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",03-11-57,2:30:00,Sputnik 8K71PS,Sputnik-2,Retired,,Success
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",06-12-57,16:44:00,Vanguard,Vanguard TV3,Retired,,Failure
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",01-02-58,3:48:00,Juno I,Explorer 1,Retired,,Success
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",05-02-58,7:33:00,Vanguard,Vanguard TV3BU,Retired,,Failure
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",05-03-58,18:27:00,Juno I,Explorer 2,Retired,,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",17-03-58,12:15:00,Vanguard,Vanguard 1,Retired,,Success
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",26-03-58,17:38:00,Juno I,Explorer 3,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",27-04-58,9:01:00,Sputnik 8A91,Sputnik-3 #1,Retired,,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",28-04-58,2:53:00,Vanguard,Vanguard TV5,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15-05-58,7:12:00,Sputnik 8A91,Sputnik-3 #2,Retired,,Success
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",28-05-58,3:46:00,Vanguard,Vanguard SLV-1,Retired,,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",26-06-58,5:00:00,Vanguard,Vanguard SLV-2,Retired,,Failure
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",25-07-58,,NOTS-EV-1 Pilot II,Pilot-1 (D1),Retired,,Failure
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",26-07-58,15:00:00,Juno I,Explorer 4,Retired,,Success
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",12-08-58,,NOTS-EV-1 Pilot II,Pilot-2 (D2),Retired,,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",17-08-58,12:18:00,Thor-DM 18 Able I,Pioneer 0,Retired,,Failure
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",22-08-58,,NOTS-EV-1 Pilot II,Pilot-3 (D3),Retired,,Failure
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",24-08-58,6:17:00,Juno I,Explorer 5,Retired,,Failure
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",25-08-58,,NOTS-EV-1 Pilot II,Pilot-4 (R1),Retired,,Failure
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",26-08-58,,NOTS-EV-1 Pilot II,Pilot-5 (R2),Retired,,Failure
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",29-08-58,,NOTS-EV-1 Pilot II,Pilot-6 (R3,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",23-09-58,7:40:00,Vostok,E-1 n†­1 (Luna-1),Retired,,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",26-09-58,15:38:00,Vanguard,Vanguard SLV-3,Retired,,Failure
NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA",11-10-58,8:42:00,Thor-DM 18 Able I,Pioneer 1,Retired,,Partial Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",11-10-58,21:41:00,Vostok,E-1 n†­2 (Luna-1),Retired,,Failure
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",23-10-58,3:21:00,Juno I,Beacon 1,Retired,,Failure
NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA",08-11-58,7:30:00,Thor-DM 18 Able I,Pioneer 2,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04-12-58,18:18:00,Vostok,E-1 n†­3 (Luna-1),Retired,,Failure
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",06-12-58,5:44:00,Juno II,Pioneer 3,Retired,,Partial Failure
US Air Force,"LC-11, Cape Canaveral AFS, Florida, USA",18-12-58,23:02:00,SM-65B Atlas,SCORE,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",02-01-59,16:41:00,Vostok,Luna-1,Retired,,Partial Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",17-02-59,15:55:00,Vanguard,Vanguard 2,Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",28-02-59,21:49:00,Thor-DM18 Agena-A,Discoverer 1,Retired,,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13-04-59,21:18:00,Thor-DM18 Agena-A,Discoverer 2,Retired,,Success
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",14-04-59,2:49:00,Vanguard,Vanguard SLV-5,Retired,,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",03-06-59,20:09:00,Thor-DM18 Agena-A,Discoverer 3,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",18-06-59,8:08:00,Vostok,E-1A n†­1 (Luna-2),Retired,,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",22-06-59,20:16:00,Vanguard,Vanguard SLV-6,Retired,,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",25-06-59,22:47:00,Thor-DM18 Agena-A,Discoverer 4,Retired,,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",07-08-59,14:24:00,Thor DM-18 Able-III,Explorer 6,Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13-08-59,19:00:00,Thor-DM18 Agena-A,Discoverer 5,Retired,,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",19-08-59,19:24:00,Thor-DM18 Agena-A,Discoverer 6,Retired,,Success
